"","week","month","item_no","diff","type","total_sold"
"415",6,2,"10055.011625",-41.2396054205358,"Actual",0
"416",6,2,"10055.011625",-41.2396054205358,"Predicted",41.2396054205358
"417",7,2,"10055.011625",180.498019828807,"Actual",228
"418",7,2,"10055.011625",180.498019828807,"Predicted",47.501980171193
"419",8,2,"10055.011625",-46.6028170991444,"Actual",0
"420",8,2,"10055.011625",-46.6028170991444,"Predicted",46.6028170991444
"421",9,2,"10055.011625",24.9384537955264,"Actual",72
"422",9,2,"10055.011625",24.9384537955264,"Predicted",47.0615462044736
"423",10,3,"10055.011625",150.963981884157,"Actual",205
"424",10,3,"10055.011625",150.963981884157,"Predicted",54.0360181158433
"425",11,3,"10055.011625",-34.0788824557205,"Actual",12
"426",11,3,"10055.011625",-34.0788824557205,"Predicted",46.0788824557205
"427",12,3,"10055.011625",186.193580706995,"Actual",240
"428",12,3,"10055.011625",186.193580706995,"Predicted",53.8064192930052
"429",13,3,"10055.011625",-4.94625917389106,"Actual",48
